match_id,team_id,scored,conceded,xgoals,passes,accuracy,shots,ontarget,offtarget,possession,tackleswon,corners,offsides,fouls,win,homeaway,rolling_avg_goals,prev_xgoals,prev_possession,prev_shots,prev_ontarget,prev_accuracy,cumulative_points,points_rank,goal_difference,win_streak,matchday,home_team_id,away_team_id,home_score,away_score,season_name,team_name,rolling_xg_performance,home_form_wins,home_form_goals,away_form_wins,away_form_goals,rolling_shot_conversion,opponent_id,h2h_points,elo_before,opponent_elo_before
3,55,8,0,4.35,620,0.9,22,12,10,0.61,94,9,3,11,True,Home,,,,,,,,1,,,1,55,56,8,0,2020-2021,Bayern Munich,,,,,,,56,0,1500.0,1500.0
3,56,0,8,0.18,372,0.77,5,1,4,0.39,94,2,3,12,False,Away,,,,,,,,1,,,1,55,56,8,0,2020-2021,Schalke,,,,,,,55,0,1500.0,1500.0
4,57,2,3,2.03,551,0.84,23,7,16,0.59,102,7,1,12,False,Home,,,,,,,,1,,,1,57,58,2,3,2020-2021,VfB Stuttgart,,,,,,,58,0,1500.0,1500.0
4,58,3,2,1.73,296,0.73,7,6,1,0.41,88,2,3,16,True,Away,,,,,,,,1,,,1,57,58,2,3,2020-2021,Freiburg,,,,,,,57,0,1500.0,1500.0
5,59,1,4,1.07,297,0.78,17,7,10,0.42,94,7,0,13,False,Home,,,,,,,,1,,,1,59,60,1,4,2020-2021,Werder Bremen,,,,,,,60,0,1500.0,1500.0
5,60,4,1,1.84,394,0.84,13,6,7,0.58,109,4,0,17,True,Away,,,,,,,,1,,,1,59,60,1,4,2020-2021,Hertha Berlin,,,,,,,59,0,1500.0,1500.0
6,61,2,3,2.25,440,0.83,13,6,7,0.48,117,1,0,12,False,Home,,,,,,,,1,,,1,61,62,2,3,2020-2021,Cologne,,,,,,,62,0,1500.0,1500.0
6,62,3,2,2.9,436,0.81,13,7,6,0.52,107,6,2,13,True,Away,,,,,,,,1,,,1,61,62,2,3,2020-2021,Hoffenheim,,,,,,,61,0,1500.0,1500.0
7,63,1,3,1.43,498,0.84,14,3,11,0.56,107,8,4,9,False,Home,,,,,,,,1,,,1,63,64,1,3,2020-2021,Union Berlin,,,,,,,64,0,1500.0,1500.0
7,64,3,1,1.1,344,0.83,9,5,4,0.44,106,1,1,9,True,Away,,,,,,,,1,,,1,63,64,1,3,2020-2021,Augsburg,,,,,,,63,0,1500.0,1500.0
8,65,1,1,2.25,546,0.82,18,6,12,0.59,120,14,2,14,False,Home,,,,,,,,1,,,1,65,66,1,1,2020-2021,Eintracht Frankfurt,,,,,,,66,0,1500.0,1500.0
8,66,1,1,1.13,315,0.72,14,5,9,0.41,121,3,1,13,False,Away,,,,,,,,1,,,1,65,66,1,1,2020-2021,Arminia Bielefeld,,,,,,,65,0,1500.0,1500.0
9,67,3,0,1.76,516,0.87,9,4,5,0.48,87,1,2,10,True,Home,,,,,,,,1,,,1,67,68,3,0,2020-2021,Borussia Dortmund,,,,,,,68,0,1500.0,1500.0
9,68,0,3,0.59,579,0.88,8,2,6,0.52,81,3,3,9,False,Away,,,,,,,,1,,,1,67,68,3,0,2020-2021,Borussia Mönchengladbach,,,,,,,67,0,1500.0,1500.0
10,69,3,1,3.36,732,0.9,23,10,13,0.68,115,7,1,5,True,Home,,,,,,,,1,,,1,69,70,3,1,2020-2021,RB Leipzig,,,,,,,70,0,1500.0,1500.0
10,70,1,3,1.04,254,0.77,8,1,7,0.32,82,5,3,11,False,Away,,,,,,,,1,,,1,69,70,3,1,2020-2021,Mainz,,,,,,,69,0,1500.0,1500.0
11,71,0,0,0.74,380,0.75,9,1,8,0.42,116,4,4,13,False,Home,,,,,,,,1,,,1,71,72,0,0,2020-2021,Wolfsburg,,,,,,,72,0,1500.0,1500.0
11,72,0,0,0.79,562,0.84,6,2,4,0.58,119,4,3,12,False,Away,,,,,,,,1,,,1,71,72,0,0,2020-2021,Bayer Leverkusen,,,,,,,71,0,1500.0,1500.0
16,56,1,3,1.33,474,0.79,17,4,13,0.63,118,8,2,20,False,Home,0.0,0.18,0.39,5.0,1.0,0.77,0.0,8,-8.0,0.0,2,56,59,1,3,2020-2021,Schalke,-0.18,,,,,0.0,59,0,1480.0,1480.0
17,58,1,1,1.86,400,0.82,21,7,14,0.52,120,9,3,10,False,Home,3.0,1.73,0.41,7.0,6.0,0.73,3.0,1,1.0,1.0,2,58,71,1,1,2020-2021,Freiburg,1.27,,,,,0.42857142857142855,71,0,1520.0,1500.0
16,59,3,1,2.57,218,0.61,17,8,9,0.37,131,3,3,14,True,Away,1.0,1.07,0.42,17.0,7.0,0.78,0.0,8,-3.0,0.0,2,56,59,1,3,2020-2021,Werder Bremen,-0.07000000000000006,,,,,0.058823529411764705,56,0,1480.0,1480.0
12,60,1,3,1.26,450,0.85,12,6,6,0.57,104,4,1,13,False,Home,4.0,1.84,0.58,13.0,6.0,0.84,3.0,1,3.0,1.0,2,60,65,1,3,2020-2021,Hertha Berlin,2.16,,,,,0.3076923076923077,65,0,1520.0,1500.0
15,61,0,1,1.57,430,0.8,12,2,10,0.5,114,7,0,15,False,Away,2.0,2.25,0.48,13.0,6.0,0.83,0.0,8,-1.0,0.0,2,66,61,1,0,2020-2021,Cologne,-0.25,,,,,0.15384615384615385,66,0,1480.0,1500.0
13,63,1,1,1.02,365,0.75,15,2,13,0.4,93,5,1,15,False,Away,1.0,1.43,0.56,14.0,3.0,0.84,0.0,8,-2.0,0.0,2,68,63,1,1,2020-2021,Union Berlin,-0.42999999999999994,,,,,0.07142857142857142,68,0,1480.0,1480.0
14,64,2,0,0.92,186,0.69,6,4,2,0.29,100,3,3,7,True,Home,3.0,1.1,0.44,9.0,5.0,0.83,3.0,1,2.0,1.0,2,64,67,2,0,2020-2021,Augsburg,1.9,,,,,0.3333333333333333,67,0,1520.0,1520.0
12,65,3,1,1.94,335,0.83,11,3,8,0.43,115,3,1,16,True,Away,1.0,2.25,0.59,18.0,6.0,0.82,1.0,5,0.0,0.0,2,60,65,1,3,2020-2021,Eintracht Frankfurt,-1.25,,,,,0.05555555555555555,60,0,1500.0,1520.0
15,66,1,0,0.29,400,0.85,7,3,4,0.5,112,4,1,12,True,Home,1.0,1.13,0.41,14.0,5.0,0.72,1.0,5,0.0,0.0,2,66,61,1,0,2020-2021,Arminia Bielefeld,-0.1299999999999999,,,,,0.07142857142857142,61,0,1500.0,1480.0
